state_id,state,abbrev
Q173,Alabama,AL
Q173,Alabama,Ala.
Q797,Alaska,AK
Q816,Arizona,AZ
Q816,Arizona,Ariz.
Q1612,Arkansas,AR
Q1612,Arkansas,Ark.
Q99,California,CA
Q1261,Colorado,CO
Q779,Connecticut,CT
Q1393,Delaware,DE
Q812,Florida,FL
Q1428,Georgia,GA
Q1428,Georgia,Ga.
Q782,Hawaii,HI
Q1221,Idaho,ID
Q1221,Idaho,Idaho
Q1204,Illinois,IL
Q1204,Illinois,Ill.
Q1415,Indiana,IN
Q1415,Indiana,Ind.
Q1546,Iowa,IA
Q1558,Kansas,KS
Q1558,Kansas,Kan.
Q1558,Kansas,Kans.
Q1603,Kentucky,KY
Q1603,Kentucky,Ky.
Q1588,Louisiana,La.
Q1588,Louisiana,LA
Q724,Maine,ME
Q1391,Maryland,MD
Q1391,Maryland,Md.
Q771,Massachusetts,MA
Q771,Massachusetts,Mass.
Q1166,Michigan,MI
Q1166,Michigan,Mich.
Q1527,Minnesota,MN
Q1527,Minnesota,Minn.
Q1494,Mississippi,Miss.
Q1494,Mississippi,MS
Q1581,Missouri,MO
Q1581,Missouri,Mo.
Q1212,Montana,MT
Q1212,Montana,Mont.
Q1553,Nebraska,NE
Q1553,Nebraska,Neb.
Q1553,Nebraska,Nebr.
Q1227,Nevada,NV
Q1227,Nevada,Nev.
Q759,New Hampshire,N.H.
Q759,New Hampshire,NH
Q1408,New Jersey,NJ
Q1408,New Jersey,N.J.
Q1522,New Mexico,N. Mex.
Q1522,New Mexico,N.M.
Q1522,New Mexico,NM
Q1384,New York,NY
Q1384,New York,N.Y.
Q1454,North Carolina,NC
Q1454,North Carolina,N.C.
Q1207,North Dakota,ND
Q1207,North Dakota,N.D.
Q1207,North Dakota,N. Dak.
Q1397,Ohio,OH
Q1649,Oklahoma,Okla.
Q1649,Oklahoma,OK
Q824,Oregon,OR
Q824,Oregon,Ore.
Q824,Oregon,Oreg.
Q1400,Pennsylvania,PA
Q1400,Pennsylvania,Pa.
Q1387,Rhode Island,RI
Q1387,Rhode Island,R.I.
Q1456,South Carolina,SC
Q1456,South Carolina,S.C.
Q1211,South Dakota,SD
Q1211,South Dakota,S.D.
Q1211,South Dakota,S. Dak.
Q1509,Tennessee,TN
Q1509,Tennessee,Tenn.
Q1439,Texas,TX
Q1439,Texas,Tex.
Q829,Utah,UT
Q16551,Vermont,Vt.
Q16551,Vermont,VT
Q1370,Virginia,VA
Q1370,Virginia,Va.
Q1223,Washington,WA
Q1223,Washington,Wash.
Q1371,West Virginia,WV
Q1371,West Virginia,W. Va.
Q1371,West Virginia,W.Va.
Q1537,Wisconsin,WI
Q1537,Wisconsin,Wis.
Q1214,Wyoming,WY
Q1214,Wyoming,Wyo.
